lineage,mean.diffs,clock.residual,num.cases,num.variants,min.coldate,max.coldate,mean.coldate
B.1.1.70,21.89,-0.91,2342,1386,2020-03-06,2021-09-28,2020-11-13
AP.1,27.29,4.23,543,185,2020-09-04,2021-02-24,2020-11-17
P.5,35.09,1.46,57,39,2021-03-09,2021-07-26,2021-04-27
AV.1,40.82,6.22,125,46,2021-03-28,2021-06-18,2021-05-12
AZ.4,32.76,-0.23,238,89,2021-02-08,2021-06-14,2021-04-17
AZ.5,39.2,0.19,326,226,2021-02-09,2021-12-06,2021-07-18
B.1.1.318,34.06,0.58,2316,1672,2020-12-31,2021-11-27,2021-04-25
AZ.6,35.2,2.76,30,15,2021-03-04,2021-06-07,2021-04-09
AZ.3,33.45,0.28,462,254,2021-03-02,2021-08-20,2021-04-20
AZ.1,35.88,2.17,388,166,2021-01-22,2021-07-29,2021-04-28
AZ.2,37.45,2.66,785,555,2021-02-05,2021-08-13,2021-05-15
AZ.2.1,36.31,2.1,62,28,2021-04-09,2021-06-26,2021-05-06
B.1.1.136,12.14,-4.05,44,17,2020-06-03,2021-02-17,2020-08-04
XA,36.68,5.69,37,11,2021-01-30,2021-04-03,2021-03-18
Q.2,42.37,9.52,1003,476,2020-12-16,2022-05-06,2021-04-15
B.1.1.7,39.21,0.58,873018,431943,2020-11-24,2022-04-25,2021-07-12
Q.1,36.73,3.37,5881,2806,2021-01-08,2021-07-30,2021-04-23
Q.5,41.17,3.23,29,14,2021-06-28,2021-08-11,2021-07-02
Q.4,39.54,7.15,1423,901,2021-01-10,2021-08-17,2021-04-08
Q.3,41.21,7.52,3673,1883,2020-12-29,2021-09-17,2021-04-28
Q.7,43.37,10,731,397,2021-01-29,2021-11-04,2021-04-23
Q.6,41.14,4.65,126,80,2021-03-02,2021-08-12,2021-06-10
Q.8,41.21,4.43,222,204,2021-03-07,2021-10-30,2021-06-14
B.1.1.345,17.65,-10.01,23,17,2020-11-10,2021-03-07,2021-01-26
B.1.1.525,25.28,-6.67,110,95,2021-01-05,2021-06-08,2021-04-01
N.10,34.53,5.95,34,28,2020-12-29,2021-04-26,2021-02-09
N.9,23.8,-2.52,158,147,2020-09-25,2021-07-22,2021-01-05
B.1.1.393,23,-3.66,3,3,2021-01-08,2021-01-12,2021-01-11
N.7,15.76,-0.35,41,12,2020-06-18,2020-10-16,2020-08-03
N.1,14.45,1.72,20,14,2020-03-25,2020-09-25,2020-06-12
N.4,16.32,-2.16,201,168,2020-04-01,2021-03-12,2020-09-08
N.2,18.25,2.95,16,14,2020-05-16,2020-08-28,2020-07-21
N.3,13.99,-0.74,131,106,2020-04-17,2021-01-30,2020-07-13
N.5,26.07,-0.39,369,331,2020-04-27,2021-06-12,2021-01-08
B.1.1.33,14.99,-0.7,2028,1564,2020-03-07,2021-06-12,2020-07-27
N.8,19.5,-4.47,2,2,2020-11-13,2020-12-18,2020-12-01
N.6,16.24,-0.89,119,93,2020-04-25,2021-02-03,2020-08-18
B.1.1.322,20.93,-3.16,80,73,2020-06-10,2021-05-12,2020-12-02
B.1.1.324,15.06,-1.86,18,16,2020-05-05,2020-12-13,2020-08-15
B.1.1.327,19.8,-5.55,5,4,2020-11-22,2021-01-11,2020-12-22
B.1.1.408,15.82,0.84,11,6,2020-07-11,2020-08-10,2020-07-16
B.1.1.528,32.7,-2.91,105,98,2020-12-07,2021-11-17,2021-05-27
P.1.15,41.08,3.06,2212,1722,2021-01-13,2021-12-22,2021-07-03
P.1.16,38.61,4.91,1285,779,2021-01-31,2021-08-31,2021-04-28
P.1.3,43.27,8.48,26,15,2021-03-12,2021-06-30,2021-05-15
P.1.14,40.03,5.09,13519,5928,2021-01-13,2021-10-12,2021-05-17
P.1,40.64,1.01,46218,36324,2020-12-03,2022-01-05,2021-07-27
P.1.1,39.47,5.76,1950,1309,2021-01-04,2021-10-17,2021-04-28
P.1.12.1,46.67,3.93,147,108,2021-07-17,2021-12-06,2021-09-13
P.1.12,42.05,2.61,775,641,2020-12-23,2021-12-09,2021-07-25
P.1.4,42.55,3.31,963,595,2021-03-19,2021-11-11,2021-07-22
P.1.5,42.83,7.77,12,9,2021-04-03,2021-07-02,2021-05-19
P.1.9,45.22,6.67,214,176,2021-05-01,2021-10-08,2021-07-11
P.1.8,47.97,8.5,214,175,2021-05-03,2021-10-07,2021-07-25
P.1.17.1,39.85,1.46,545,181,2021-04-02,2021-08-16,2021-07-09
P.1.17,40.42,4.39,3223,2346,2021-02-24,2021-11-19,2021-06-03
P.1.7,43.57,4.12,3005,2496,2021-03-15,2021-11-24,2021-07-25
P.1.2,44.78,9.29,731,587,2021-01-03,2021-11-10,2021-05-25
P.1.13,39.91,5.59,471,324,2021-02-24,2021-08-03,2021-05-07
P.1.11,39.91,0.38,96,77,2021-05-10,2021-09-24,2021-07-26
P.1.6,43.04,4.1,514,345,2021-03-26,2021-11-16,2021-07-17
P.1.7.1,43.18,3.29,636,505,2021-02-07,2022-01-10,2021-07-31
P.1.10,40.3,5.41,2131,1381,2021-02-11,2021-10-29,2021-05-16
P.1.10.2,41.29,4.77,17,9,2021-05-23,2021-07-08,2021-06-10
P.1.10.1,40.95,5.09,75,25,2021-04-25,2021-06-29,2021-05-31
B.1.1.220,19.16,-1.91,199,122,2020-03-23,2021-05-26,2020-10-17
B.1.1.77,13.32,-1.43,19,14,2020-05-28,2020-10-01,2020-07-13
B.1.1.518,20.32,-4.13,144,108,2020-06-05,2021-03-24,2020-12-08
B.1.1.110,12.5,0.07,6,6,2020-03-24,2020-08-27,2020-06-08
R.1,26.76,-5.02,9292,4651,2020-11-02,2021-11-06,2021-03-30
B.1.1.158,13.76,-1.92,58,43,2020-06-01,2021-01-13,2020-07-27
B.1.1.464,17.92,-1.42,515,336,2020-04-01,2021-05-07,2020-09-21
AW.1,23.01,-1.44,337,111,2020-10-12,2021-03-12,2020-12-08
B.1.1.291,14.85,0.69,1136,617,2020-04-27,2021-05-18,2020-07-04
B.1.1.290,12.42,0.14,36,16,2020-05-11,2020-08-29,2020-06-05
B.1.1.75,11.06,2.28,53,30,2020-03-17,2020-07-09,2020-04-13
B.1.1.459,15.7,1.76,20,20,2020-04-23,2021-02-03,2020-07-01
B.1.1.288,18.04,-0.18,485,157,2020-07-20,2021-08-07,2020-09-04
B.1.1.521,20.07,-3.03,158,113,2020-05-15,2021-04-20,2020-11-17
B.1.1.222,20.66,-5.09,3465,2505,2020-04-04,2021-07-26,2020-12-28
B.1.1.517,20.91,-6.53,122,77,2020-11-16,2021-04-15,2021-01-22
B.1.1.519,28.18,-5.13,18140,12282,2020-10-13,2022-04-14,2021-04-22
B.1.1.418,20.58,-4.26,33,25,2020-10-06,2021-03-03,2020-12-14
B.1.1.316,21.21,-5.55,734,539,2020-05-17,2021-08-20,2021-01-12
R.2,23.52,-4.19,25,10,2021-01-08,2021-02-24,2021-01-27
B.1.1.224,18.04,-1.89,27,12,2020-08-31,2021-02-12,2020-09-30
B.1.1.4,17.48,3.41,263,82,2020-06-02,2020-10-04,2020-07-02
B.1.1.289,14.98,4.43,177,79,2020-03-23,2020-07-15,2020-05-10
B.1.1.52,20.25,6.3,12,12,2020-06-07,2020-08-10,2020-07-01
B.1.1.221,16.88,1.12,75,47,2020-03-29,2021-05-06,2020-07-28
B.1.1.74,15.03,-1.57,198,61,2020-03-25,2021-01-14,2020-08-10
B.1.1.5,11.47,2.7,83,48,2020-03-16,2020-12-25,2020-04-13
B.1.1.3,13.87,4.41,30,19,2020-04-01,2020-05-18,2020-04-23
AS.1,17.25,-6.33,32,22,2020-10-21,2021-01-14,2020-11-25
AS.2,20.05,-3.35,41,18,2020-09-24,2021-01-23,2020-11-22
B.1.1.317,22.08,-5.76,1835,1380,2020-03-27,2022-01-14,2021-01-29
B.1.1.114,9.75,0.99,4,2,2020-03-30,2020-05-12,2020-04-13
B.1.1.350,10.58,0.41,12,6,2020-03-23,2020-06-16,2020-05-04
B.1.1.49,11.1,1.53,10,4,2020-03-30,2020-05-15,2020-04-25
B.1.1.181,12.07,1.89,60,24,2020-04-06,2020-06-22,2020-05-04
B.1.1.139,14.37,-5.89,43,33,2020-06-17,2020-12-18,2020-10-05
B.1.1.48,10.83,1.7,382,146,2020-03-27,2020-12-30,2020-04-18
B.1.1.430,12.5,-7.01,20,14,2020-06-11,2021-01-11,2020-09-23
B.1.1.482,11.98,-0.12,48,29,2020-03-02,2020-09-17,2020-06-02
B.1.1.113,11.07,1.03,113,49,2020-03-15,2020-10-26,2020-05-02
B.1.1.213,12.83,1.32,23,12,2020-03-30,2020-07-16,2020-05-24
B.1.1.210,11.41,-2.47,150,89,2020-04-08,2021-05-05,2020-06-30
B.1.1.67,12.53,-7.83,188,89,2020-03-18,2021-03-18,2020-10-06
B.1.1.51,14.8,-0.98,456,169,2020-03-30,2021-03-24,2020-07-29
B.1.1.72,16.63,-5.66,8,6,2020-09-01,2021-01-04,2020-11-05
B.1.1.272,17.59,-0.76,172,38,2020-08-17,2020-10-04,2020-09-06
B.1.1.425,22.08,0.94,12,6,2020-08-25,2020-11-09,2020-10-18
B.1.1.162,14.1,-0.19,10,8,2020-03-21,2021-03-15,2020-07-06
B.1.1.305,16.98,-3.3,169,132,2020-05-31,2021-02-03,2020-10-05
AF.1,23.77,-1.45,22,19,2020-10-16,2021-01-27,2020-12-20
B.1.1.362,15.7,-8.1,100,80,2020-06-09,2021-03-08,2020-11-28
B.1.1.285,11.36,0.4,130,63,2020-03-25,2021-03-20,2020-05-16
B.1.1.209,15.14,-3.53,73,44,2020-05-06,2021-03-31,2020-09-11
B.1.1.50,23.81,-1.78,1167,886,2020-03-29,2021-04-12,2020-12-25
B.1.1.226,13.12,-1.36,143,85,2020-04-21,2020-08-22,2020-07-09
B.1.1.325,18.24,-3.1,34,19,2020-07-16,2021-02-23,2020-10-21
B.1.1.284,18.37,-0.96,9314,3573,2020-05-22,2021-05-31,2020-09-21
B.1.1.47,19.12,-0.88,141,109,2020-07-01,2021-03-23,2020-10-01
B.1.1.303,18.56,-0.76,279,137,2020-06-21,2020-11-19,2020-09-21
B.1.1.283,11.41,2.49,44,32,2020-03-16,2020-07-09,2020-04-15
AE.8,17.57,-4.92,1770,782,2020-08-11,2021-06-17,2020-11-08
AE.1,17.39,1.57,54,49,2020-05-08,2021-04-14,2020-07-29
AE.5,14.59,-1.02,34,27,2020-06-28,2020-08-29,2020-07-26
AE.3,15.18,-1.73,22,20,2020-06-04,2021-04-17,2020-08-15
B.1.1.306,16.95,-1.27,1625,1353,2020-04-04,2021-04-27,2020-09-04
B.1.1.340,12.5,-2.51,18,18,2020-04-06,2020-08-19,2020-07-17
AE.4,16.89,-4.35,18,14,2020-06-23,2020-11-21,2020-10-20
AE.6,16.17,-5.91,24,18,2020-10-11,2020-11-22,2020-11-02
AE.7,15.33,-5.8,12,12,2020-09-11,2020-11-12,2020-10-18
AE.2,15.5,-4.6,14,12,2020-06-23,2020-11-11,2020-10-03
B.1.1.372,13.56,0.78,756,365,2020-03-08,2021-06-08,2020-06-13
B.1.1.369,13.41,2.35,1059,471,2020-03-02,2021-01-11,2020-05-18
C.21,14.71,-4.24,7,6,2020-09-15,2020-09-15,2020-09-15
C.23,22.22,-2.94,132,105,2020-05-11,2021-04-25,2020-12-19
C.9,17.64,0.83,28,24,2020-07-01,2020-10-06,2020-08-13
C.35,19.31,-2.99,1020,634,2020-04-06,2021-04-24,2020-11-05
C.25,15.14,2.75,7,7,2020-03-20,2020-08-27,2020-06-07
C.34,18.08,-3.08,25,15,2020-08-06,2020-12-07,2020-10-19
C.6,16.5,1.86,4,4,2020-07-01,2020-07-20,2020-07-11
